Cod2000	UF	Cod2010	Renda(Total)	Renda(Beneficios)	Total(%)	Beneficio(>Sal)	Beneficio(>Sal)(%)	Beneficio(<=Sal)	Beneficio(<=Sal)(%)
1100015	ro	['1100015']	11421872.6744519	1990027.01783462	0.17422948710379624	655572.534855008	0.05739623908795383	1334454.48297961	0.11683324801584223
1100023	ro	['1100023']	60527053.4777125	6800689.50197924	0.1123578484533931	3478111.88513034	0.05746375687048872	3322577.61684891	0.054894091582904536
1100031	ro	['1100031']	2818990.22361607	608997.464209576	0.21603390430647973	238727.09806789	0.0846853231586103	370270.366141685	0.13134858114786907
1100049	ro	['1100049']	56432165.5174671	11341196.2045076	0.20097042352551986	7745429.58470498	0.13725203549574197	3595766.61980265	0.06371838802977842
1100056	ro	['1100056']	9444909.22418617	1721166.83531149	0.18223222631976074	740881.432987098	0.0784424090694145	980285.402324392	0.10378981725034622
1100064	ro	['1100064']	9418217.26965619	2037358.84366548	0.21632107067963757	717442.980040162	0.07617609145115337	1319915.86362532	0.1401449792284844
1100072	ro	['1100072']	3610609.78073122	809091.046504898	0.22408709210914537	318995.869632998	0.08834958331287604	490095.1768719	0.1357375087962693
1100080	ro	['1100080']	4847662.90276849	783762.364772257	0.16167839647526894	272925.200874154	0.056300367073438	510837.163898103	0.10537802940183093
1100098	ro	['1100098']	16402564.6921514	2458600.52594193	0.14989122567633378	948493.894383489	0.057825950525733444	1510106.63155844	0.09206527515060028
1100106	ro	['1100106']	19431870.9683191	3958401.30914653	0.20370664850544448	2754960.98615655	0.14177538491523137	1203440.32298999	0.061931263590213635
1100114	ro	['1100114']	28899922.5051811	4855975.20787468	0.16802727436394038	2267146.32473416	0.07844818007133798	2588828.88314053	0.08957909429260275
1100122	ro	['1100122']	82480627.4968903	12222716.2351375	0.14818893364503466	7006511.43211353	0.08494735848581766	5216204.80302394	0.06324157515921665
1100130	ro	['1100130']	12263892.6038599	2412134.13636979	0.1966858496143877	1016710.27439992	0.08290273791862168	1395423.86196987	0.11378311169576605
1100148	ro	['1100148']	9633171.90692732	1441321.68352997	0.1496206750440631	473251.081985059	0.049127233122948734	968070.601544907	0.10049344192111394
