	uf	cod	gini(g)	parcela(ch)	p_total	p_1sal	p_nsal
0	ac	1200344	0.5913636111011782	0.4623824821830804	0.12898112891809776	0.6958303046973402	-0.13685576760392393
1	ac	1200104	0.5201114697167104	0.18371122967760245	0.33640024003910796	0.739440134354447	-0.0460649876273993
2	ac	1200450	0.5277474354689227	0.2997565636011975	0.22799087186772515	0.8320309754321207	-0.11804474951640875
3	ac	1200807	0.45513279847025456	0.28585515960156016	0.1692776388686944	0.6933325296621774	-0.26916638158104733
4	ac	1200252	0.533172746130026	0.30021938450368346	0.2329533616263425	0.6338753758364413	-0.08923756201613497
5	ac	1200393	0.33820482790283846	0.07306317457834033	0.2651416533244981	0.6434459079611115	-0.20490598061202436
6	ac	1200013	0.5502626246478732	0.04323482392818012	0.5070278007196931	0.6464519929584365	0.1606517077916212
7	ac	1200138	0.6166597121790484	0.2480066592384198	0.36865305294062856	0.7854892062606508	0.03174333064575219
8	ac	1200500	0.5181638119471605	0.3145753806156486	0.20358843133151194	0.6609739290483847	-0.18472430888987335
9	ac	1200336	0.49386782247925853	0.2279507928581176	0.26591702962114094	0.8011843121487023	-0.07919662069107458
10	ac	1200427	0.39309068428929606	0.12233332005490594	0.2707573642343901	0.5786382760386084	-0.09566828232094948
11	ac	1200203	0.5601860059806479	0.24302485614198577	0.31716114983866217	0.7268384480403874	0.02658286000293464
12	ac	1200302	0.4707016831712719	0.4022051374194505	0.0684965457518214	0.6551332924333523	-0.19649698066354115
13	ac	1200609	0.5403276435667854	0.26195460115555913	0.2783730424112263	0.6256288446392542	-0.112724423859618
14	ac	1200328	0.4108239117240826	0.4381510445873017	-0.027327132863219084	0.2008802792266986	-0.2008622320133432
15	ac	1200435	0.4280394476853967	-0.02899766908336887	0.45703711676876557	0.45703711676876557	0.0
16	ac	1200385	0.48716450557231006	0.3226852865427656	0.16447921902954443	0.6240815970733572	-0.1783714396998065
17	ac	1200351	0.43875029664903475	0.016967911474533248	0.4217823851745015	0.7684775353952816	-0.2957992414041529
18	ac	1200708	0.4815269554541699	0.3363748266271491	0.14515212882702078	0.5943183626268158	-0.16800417701034864
19	ac	1200054	0.535533801024244	0.41215532251565634	0.12337847850858763	0.5965349340518996	-0.016522167485797712
20	ac	1200401	0.5927430870473019	0.511584174985042	0.08115891206225989	1.023822849683365	-0.10444102604668648
21	ac	1200179	0.47534562313648976	0.20743729063483607	0.2679083325016537	0.7251253225696924	-0.12550727721551513
22	al	2701902	0.4760522151254626	0.3944779373605848	0.0815742777648778	0.11983028253062633	-0.3719430939863665
23	al	2704906	0.4051483299661016	0.3747975754793571	0.030350754486744513	0.23831853519641133	-0.5170651208712641
24	al	2702504	0.44966745943866626	0.32934764351373014	0.12031981592493612	0.21840157578977537	-0.4062961216670635
25	al	2707909	0.44973242045914463	0.3400156704649703	0.10971674999417436	0.5695846985268498	-0.4446239241909169
26	al	2703502	0.3616628287953403	0.3862699943642596	-0.024607165568919287	0.1671367129561978	-0.6035422574527166
27	al	2703106	0.3797815451865598	0.29528853055183957	0.08449301463472025	0.2137101329090857	-0.4857425925868336
28	al	2708402	0.5210372426310522	0.3805353502761223	0.14050189235492994	0.29217487594408886	-0.4282676269734764
29	al	2708501	0.41982306881544096	0.4163201501566771	0.003502918658763843	0.33323831602426124	-0.42709065622347464
30	al	2706448	0.4614825891923009	0.37346088691764456	0.08802170227465633	0.5240849672671706	-0.3533189831378192
31	al	2707404	0.45658582203451636	0.644462477956547	-0.18787665592203062	0.151507421849148	-0.4830576935204466
32	al	2701407	0.3997601233267505	0.17261286445944768	0.2271472588673028	0.5447407777333788	-0.4108201155637624
33	al	2702355	0.39730086226879147	0.38830013130990637	0.009000730958885095	0.054532895506625545	-0.431753479779595
34	al	2708006	0.5725523260359728	0.44626963645733153	0.1262826895786413	0.46853288361831646	-0.30673053615196033
35	al	2708956	0.367496037212928	0.19118893743755117	0.17630709977537684	0.29241740681197126	-0.5504989605717303
36	al	2701001	0.4781895540585446	0.35650175176511534	0.12168780229342924	0.4854335373970444	-0.28569884520658084
37	al	2705507	0.4667290751855102	0.38311096957830093	0.08361810560720928	0.3607005221602776	-0.3864139545285551
38	al	2703809	0.42502915347851855	0.2754283507292151	0.14960080274930343	0.24381584097670106	-0.39944681253634773
39	al	2702207	0.47809525556372634	0.3643127827441667	0.11378247281955967	0.5961748207522239	-0.3171094697686436
40	al	2709004	0.42896079347995086	0.2005630045388903	0.22839778894106055	0.3887389270915542	-0.40988148591243134
41	al	2708105	0.4364282464553829	0.3897250096151359	0.04670323684024702	0.1605974457037792	-0.4877901190594074
42	al	2702108	0.4243253803435433	0.33079702067741856	0.09352835966612472	0.37913109730187944	-0.40454844760575526
43	al	2705101	0.3740229663651995	0.24259055184230993	0.13143241452288956	0.29668049261373364	-0.4320495065155162
44	al	2706109	0.4625760615407397	0.3336793282040116	0.12889673333672813	0.2605896820896195	-0.3934433577791985
45	al	2708600	0.5296858969936941	0.3561131636561121	0.17357273333758194	0.7107076900564159	-0.2264180087312473
46	al	2708907	0.4747348037274962	0.4508236993150967	0.02391110441239952	0.8014732394203544	-0.2725991283667306
47	al	2706422	0.403390375641447	0.4023111481360063	0.0010792275054406497	0.20565871457003726	-0.5176077200698908
48	al	2705408	0.6578334365151317	0.33723460519086235	0.32059883132426936	0.482429879000709	-0.23284334698669618
49	al	2700805	0.40421302897006284	0.2719956004707008	0.13221742849936202	0.42091132248525576	-0.3777898480548626
50	al	2707008	0.42889745581521754	0.5344629385044986	-0.10556548268928101	-0.02901621356979145	-0.4650962081379484
51	al	2702603	0.4947083180329994	0.38842187267317263	0.10628644535982679	0.1674184160160196	-0.41478544746689594
52	al	2702009	0.45400954458354115	0.37943017356754194	0.07457937101599921	0.11796778248660378	-0.424673015987034
53	al	2706901	0.4444468550909677	0.40632333345931837	0.03812352163164934	0.5239708496056503	-0.3901764620866115
54	al	2707107	0.5929470738033731	0.2721804978074944	0.32076657599587866	0.6287565078016042	-0.21384227611568052
55	al	2709202	0.508273600258739	0.5181928387956614	-0.009919238536922337	0.2796466272907857	-0.4450395999471165
56	al	2701100	0.45350349972549675	0.44577546036916305	0.007728039356333705	0.11083520109319978	-0.46140597057547994
57	al	2709400	0.5431636719542806	0.4054909868844768	0.1376726850698038	0.4856390779605476	-0.31675908719718027
58	al	2702306	0.5059436220211241	0.3803554528715605	0.1255881691495636	0.4745873376471148	-0.33187898111133685
59	al	2708204	0.5256744392049695	0.47370989465475144	0.05196454455021804	0.31040871271346204	-0.3725295039849874
60	al	2703304	0.45795660845246844	0.29725707645407695	0.1606995319983915	0.2543981340284809	-0.43875789818091815
61	al	2705903	0.44991063433158196	0.5428627283114642	-0.09295209397988224	0.15289274779435846	-0.5077596846223119
62	al	2702553	0.40235584933797086	0.3100814983343241	0.09227435100364678	0.1581748018102601	-0.4456025746650265
63	al	2700409	0.4565252027540291	0.2609964916845815	0.19552871106944758	0.40012476665047336	-0.3786404853303418
64	al	2706307	0.5276566644042153	0.45374443404613707	0.07391223035807826	0.5375940197473221	-0.31552339460649115
65	al	2700904	0.3859780772006224	0.32149148895684543	0.06448658824377695	0.13289916874891872	-0.5799093271461607
66	al	2705606	0.38313543546125006	0.23689110726176443	0.14624432819948563	0.34230924825918685	-0.5178661307186524
67	al	2701704	0.47938834498181937	0.4201445221181319	0.059243822863687456	0.3225855824004905	-0.3793429998205399
68	al	2701605	0.43348270490274465	0.30975818956196954	0.12372451534077511	0.1708490708172964	-0.4991755161607917
69	al	2708808	0.5279016140146607	0.28154443374603133	0.2463571802686294	0.30517270414321196	-0.28811049330067895
70	al	2701209	0.5325567828902461	0.22892169238682591	0.3036350905034202	0.38493448722868395	-0.3147426385934414
71	al	2707602	0.5184652311317341	0.5953141204906691	-0.07684888935893497	0.26506968203334114	-0.41612712869345325
72	al	2709301	0.47762945915313815	0.3548158497680901	0.12281360938504804	0.5060978955949212	-0.37727902677604597
73	al	2703601	0.5271056135970545	0.5296603011923697	-0.002554687595315186	0.45833456833130237	-0.41849158679365517
74	al	2703908	0.35410829134395316	0.28193790539624386	0.0721703859477093	0.2401159146520816	-0.4922581471270404
75	al	2702900	0.4335908270373794	0.2855692141791155	0.14802161285826387	0.2497004754148675	-0.42954624499216043
76	al	2704005	0.5267713485743997	0.2602565145261363	0.26651483404826337	0.43025483158546385	-0.3276762508753266
77	al	2706703	0.5772418006134038	0.3935014486780627	0.1837403519353411	0.6377356922827021	-0.269121087060756
78	al	2704302	0.6357535754995487	0.6220117751008416	0.013741800398707094	1.036193475121112	-0.1493487163351378
79	al	2700508	0.37193847169925287	0.4208406900806684	-0.04890221838141551	0.20532074168400016	-0.5328233037487637
80	al	2702405	0.5334079408396212	0.3737130756331615	0.1596948652064597	0.5523685885407904	-0.25228698598427524
81	al	2701803	0.43416511341276276	0.42615488139467517	0.008010232018087593	0.1088726264555866	-0.4989310748807019
82	al	2703700	0.391265465127405	0.35672798094666713	0.034537484180737876	0.060757557747950774	-0.45777812532623485
83	al	2707800	0.43833531812813353	0.24496441096595511	0.19337090716217842	0.34988330762432673	-0.36073095563319524
84	al	2704708	0.5243962935150208	0.5416309581623655	-0.01723466464734469	0.6162471589639003	-0.35861678376883255
85	al	2700706	0.61168465693909	0.40975493032312416	0.20192972661596587	0.43188316155260087	-0.27810585444783353
86	al	2700607	0.4443849305037555	0.6138324198009587	-0.1694474892972032	0.6085951133904053	-0.5058376124742686
87	al	2704401	0.4198127603698113	0.4518293467105031	-0.03201658634069182	0.16370308877529693	-0.46989982630697813
88	al	2706208	0.4091321592399584	0.40279912601961876	0.006333033220339623	0.1757111812227513	-0.5078381118538934
89	al	2701308	0.3530979502500037	0.261186325125506	0.09191162512449769	0.292882702979397	-0.45689231184031665
90	al	2706604	0.388601738576698	0.24604609786855913	0.14255564070813886	0.22218986726141232	-0.37352785971060165
91	al	2706802	0.48388996601122924	0.39824475676754645	0.0856452092436828	0.349874542315606	-0.42611462712731574
92	al	2707701	0.45439231241731526	0.2687601942147354	0.18563211820257985	0.7120003461964222	-0.26698946508251475
93	al	2709103	0.4568702902061783	0.22803613466203243	0.22883415554414588	0.3480809065502577	-0.3888092827035372
94	al	2702702	0.3317773644547052	0.2879428371145131	0.04383452734019211	0.15122130519366306	-0.5851451715158521
95	al	2704500	0.45035055424465076	0.3175520371597629	0.13279851708488788	0.48625926802718034	-0.43895474936345735
96	al	2701357	0.39430801609124677	0.30035943483989014	0.09394858125135663	0.36162527620450235	-0.30611129537558335
97	al	2704104	0.41456206869851386	0.3633467817254874	0.051215286973026464	0.15530034228959355	-0.41320786682392097
98	al	2706505	0.48933695216070006	0.4914331789738826	-0.0020962268131825557	0.298904206574214	-0.44386095021725613
99	al	2700201	0.46219936582963683	0.43058305684634013	0.031616308983296704	0.41632667264619827	-0.43972073952026236
100	al	2704609	0.39018383795557265	0.1634645864753379	0.22671925148023475	0.42114108476710244	-0.49519573337820366
101	al	2701506	0.4748836449520416	0.25936501309440774	0.21551863185763387	0.3886547210429788	-0.3799233281565231
102	al	2707305	0.42028017069196844	0.2986427067133288	0.12163746397863962	0.3751080013250827	-0.43838276342877425
