,UF,COD,Gini_RD,Gini_RP,RendaMedia,RendaMedia2010
0,AC,1200344,0.6432701951720744,0.5913636111011782,99.8,198.78
1,AC,1200104,0.596052812761318,0.5201114697167104,132.22,263.38
2,AC,1200450,0.5643283940733803,0.5277474354689227,152.38,303.53
3,AC,1200393,0.4448568608658384,0.33820482790283846,72.1,143.62
4,AC,1200807,0.5329164546930051,0.45513279847025456,109.67,218.45
5,AC,1200252,0.5404463473189094,0.533172746130026,137.87,274.62
6,AC,1200013,0.6036502226441469,0.5502626246478732,132.79,264.51
7,AC,1200138,0.6937423356570193,0.6166597121790484,136.06,271.02
8,AC,1200500,0.5855592745872548,0.5181638119471605,107.52,214.17
9,AC,1200336,0.6106990106325766,0.49386782247925853,94.9,189.03
10,AC,1200427,0.559614038938046,0.39309068428929606,60.28,120.07
11,AC,1200203,0.5889081300205281,0.5601860059806479,139.38,277.63
12,AC,1200302,0.5960433265841156,0.4707016831712719,64.18,127.84
13,AC,1200609,0.6395250817903821,0.5403276435667854,92.06,183.38
14,AC,1200328,0.6628125272477752,0.4108239117240826,29.66,59.07
15,AC,1200435,0.5370315947111481,0.4280394476853967,42.26,84.18
16,AC,1200351,0.7006580800472624,0.43875029664903475,45.46,90.54
17,AC,1200385,0.5115928950637199,0.48716450557231006,112.98,225.04
18,AC,1200708,0.5150348322904865,0.4815269554541699,123.05,245.1
19,AC,1200054,0.5452104176871491,0.535533801024244,124.37,247.73
20,AC,1200401,0.6131779715972044,0.5927430870473019,262.8,523.48
21,AC,1200179,0.5188354582645203,0.47534562313648976,117.4,233.85
22,AL,2701902,0.5388597865727404,0.4760522151254626,60.31,120.13
23,AL,2704906,0.5494275150758933,0.4051483299661016,64.52,128.51
24,AL,2702504,0.5160557996859525,0.44966745943866626,75.51,150.4
25,AL,2707909,0.5341185840539505,0.44973242045914463,84.3,167.92
26,AL,2703502,0.540093931774724,0.3616628287953403,57.06,113.65
27,AL,2708402,0.6468496521741719,0.5210372426310522,43.29,86.24
28,AL,2703106,0.5777874553471867,0.3797815451865598,47.35,94.32
29,AL,2706448,0.556202809805106,0.4614825891923009,81.75,162.84
30,AL,2708501,0.5087626505777815,0.41982306881544096,70.22,139.87
31,AL,2707404,0.5644261426358466,0.45658582203451636,49.47,98.55
32,AL,2701407,0.49527985862082047,0.3997601233267505,66.26,131.99
33,AL,2702355,0.484199906362485,0.39730086226879147,57.33,114.2
34,AL,2708956,0.6392687368213534,0.367496037212928,38.89,77.47
35,AL,2708006,0.6501503073975237,0.5725523260359728,94.58,188.39
36,AL,2701001,0.5460299368330497,0.4781895540585446,84.8,168.92
37,AL,2705507,0.5478917440075117,0.4667290751855102,77.04,153.45
38,AL,2702207,0.5862136166676472,0.47809525556372634,95.01,189.25
39,AL,2703809,0.5446414385041394,0.42502915347851855,61.21,121.92
40,AL,2709004,0.6231165582325457,0.42896079347995086,65.4,130.27
41,AL,2702108,0.5062655715959377,0.4243253803435433,76.71,152.79
42,AL,2708105,0.5146387126381904,0.4364282464553829,65.19,129.86
43,AL,2705101,0.4834246497840132,0.3740229663651995,65.32,130.11
44,AL,2706109,0.5586364521933844,0.4625760615407397,64.61,128.7
45,AL,2708600,0.5776781011921606,0.5296858969936941,121.45,241.91
46,AL,2708907,0.5226841414000762,0.4747348037274962,130.53,260.0
47,AL,2700805,0.5483836780356679,0.40421302897006284,72.49,144.4
48,AL,2706422,0.5672895080319955,0.403390375641447,50.39,100.38
49,AL,2705408,0.7374980872280732,0.6578334365151317,92.91,185.06
50,AL,2707008,0.4796677363117712,0.42889745581521754,65.77,131.0
51,AL,2702603,0.5654153951130128,0.4947083180329994,68.36,136.16
52,AL,2702009,0.5650679524618878,0.45400954458354115,62.9,125.29
53,AL,2706901,0.5428217551994554,0.4444468550909677,88.89,177.05
54,AL,2707107,0.7071619684911373,0.5929470738033731,89.38,178.03
55,AL,2701100,0.5477329818532894,0.45350349972549675,59.73,118.98
56,AL,2709202,0.6821178045308662,0.508273600258739,41.9,83.46
57,AL,2709400,0.639047126754518,0.5431636719542806,90.12,179.52
58,AL,2702306,0.5694978150529958,0.5059436220211241,92.35,183.96
59,AL,2708204,0.5696883917712434,0.5256744392049695,67.95,135.36
60,AL,2703304,0.6188615771202408,0.45795660845246844,50.21,100.01
61,AL,2705903,0.614435197531598,0.44991063433158196,49.68,98.95
62,AL,2706307,0.5694313112929551,0.5276566644042153,116.52,232.1
63,AL,2702553,0.5401311095869337,0.40235584933797086,50.0,99.6
64,AL,2700409,0.5373983749785886,0.4565252027540291,75.42,150.22
65,AL,2700904,0.5140647361200937,0.3859780772006224,56.77,113.09
66,AL,2705606,0.5187498606696723,0.38313543546125006,66.32,132.1
67,AL,2701704,0.5203074616849774,0.47938834498181937,72.37,144.16
68,AL,2701605,0.5973271199911581,0.43348270490274465,42.56,84.77
69,AL,2708808,0.6052687299399808,0.5279016140146607,71.02,141.47
70,AL,2701209,0.6595046671540621,0.5325567828902461,71.64,142.7
71,AL,2707602,0.6065311143845658,0.5184652311317341,74.88,149.15
72,AL,2709301,0.5559394382402131,0.47762945915313815,90.72,180.7
73,AL,2703908,0.4725458202702061,0.35410829134395316,62.77,125.03
74,AL,2703601,0.5789427812981742,0.5271056135970545,85.46,170.22
75,AL,2702900,0.5664070999013481,0.4335908270373794,54.59,108.74
76,AL,2706703,0.6255034297273481,0.5772418006134038,125.42,249.82
77,AL,2704005,0.631435722708729,0.5267713485743997,81.14,161.62
78,AL,2704302,0.6607567956848804,0.6357535754995487,280.41,558.55
79,AL,2700508,0.5027482439776625,0.37193847169925287,64.38,128.25
80,AL,2702405,0.5835273890460249,0.5334079408396212,109.87,218.86
