,UF,Renda(Total),Renda(Beneficios),Total(%),Beneficio(>Sal),Beneficio(>Sal)(%),Beneficio(<=Sal),Beneficio(<=Sal)(%)
0,AC,363930176.467633,53798348.7319401,0.14782601776559406,35827849.7637339,0.09844704308800382,17970498.9682064,0.04937897467759079
1,AL,1310278936.13376,313220811.432889,0.2390489557567869,191413699.472147,0.14608622194366597,121807111.960741,0.09296273381312016
2,AM,1767119295.69952,221892581.276629,0.12556740329678312,151233449.445826,0.08558191278532767,70659131.8308029,0.0399854905114554
3,AP,385089215.415535,33680372.1871789,0.08746121895632862,22684069.1789247,0.05890601001237386,10996303.0082541,0.028555208943954486
4,BA,6741413523.40041,1383001146.72529,0.20515002408985822,806057607.42821,0.11956804083153613,576943539.29708,0.0855819832583221
5,CE,3766884581.52296,838835935.685188,0.2226869227158653,465419376.143742,0.12355551811347824,373416559.541441,0.09913140460238573
6,DF,4253044160.49504,677846835.115818,0.15937921393153814,641069967.300931,0.15073202701622374,36776867.8148865,0.008647186915314277
7,ES,2787428614.90134,506065344.880149,0.18155275517183458,390751235.052497,0.14018340522285538,115314109.827651,0.04136934994897887
8,GO,4702590982.78636,628459616.808901,0.1336411393441087,436698452.00442,0.09286337119322872,191761164.804483,0.040777768150880404
9,MA,2295569936.96134,465460323.78708,0.20276460163231302,209356825.446703,0.09120036905685823,256103498.340377,0.11156423257545478
10,MG,14342994104.1094,2851767420.59167,0.19882650720567557,2050609972.58284,0.1429694495931865,801157448.008822,0.05585705761248853
11,MS,1912487321.77991,266489393.350612,0.13934178298374086,190679712.714303,0.09970247151068251,75809680.6363082,0.039639311473057916
12,MT,2227276812.53559,239531988.324381,0.10754477709112928,151975327.637303,0.06823369541762989,87556660.6870784,0.03931108167349958
13,PA,3255792875.90537,500320845.04381,0.15367096867446794,305131158.539704,0.09371946256097548,195189686.504108,0.05995150611349308
14,PB,1739684240.04563,434807673.058521,0.24993482325684369,245886566.339973,0.1413397676888328,188921106.718547,0.10859505556801032
15,PE,4470086630.12052,1030850608.4638,0.2306108793323334,665488659.949429,0.14887600957556532,365361948.514363,0.08173486975676629
16,PI,1274737018.36757,306548099.998823,0.2404794836752987,166214627.161527,0.13039130798474943,140333472.837297,0.11008817569055007
17,PR,9071117645.65877,1460462289.78285,0.1610013613352037,1092335263.67272,0.12041903835251071,368127026.110131,0.040582322982693125
18,RJ,15841535555.2091,3652733751.9854,0.23057952552991545,3217752543.99065,0.20312125253113933,434981207.994715,0.027458272998773913
19,RN,1681362182.96369,397736018.075228,0.23655582485752702,258208454.509607,0.153570989716487,139527563.565623,0.08298483514104121
20,RO,1008342407.41483,111539115.288675,0.11061630897250167,62366846.948938,0.06185086186034067,49172268.339737,0.048765447112161006
21,RR,259580479.79467,24043967.4417738,0.09262625394942157,14907779.1414012,0.05743027809022219,9136188.30037252,0.035195975859199084
22,RS,10025683184.4086,2215643539.14602,0.22099676385063402,1787173929.55778,0.17825956562612075,428469609.588247,0.042737198224513995
23,SC,6033295584.49434,1051345245.01094,0.1742572082350669,846423633.064365,0.14029208766759024,204921611.946573,0.03396512056747636
24,SE,1048927201.07686,232874520.21262,0.22201209004165787,156613101.985951,0.14930788507073448,76261418.22667,0.07270420497092434
25,SP,19528511432.353,3676166473.36978,0.18824611830267068,3044300548.4389,0.15589004615043978,631865924.930905,0.0323560721522322
26,SP,23062203978.1193,3375850062.31724,0.1463802013684443,2991241928.74761,0.12970321186932554,384608133.569623,0.016676989499118437
27,TO,789654487.209906,93219512.9969654,0.11805101409141462,43024003.119264,0.05448459271254335,50195509.8777013,0.06356642137887114
