,COD,UF,GINI(G),PARCELA(CH),P_TOTAL,P_1SAL,P_NSAL,MRENDA,MBEN_TOT,MBEN_1SAL,MBEN_NSAL
0,12,AC,0.5687837496501584,0.4640206455660577,0.10476310408410072,0.7168170317769842,-0.20191558186535596,1092.5582250478017,161.6271615833251,53.952156255346736,107.67500532797834
1,27,AL,0.5798686473761043,0.5511803585032118,0.028688288872892542,0.5256712137597085,-0.28788884218672084,860.2225718795384,205.58368227907383,79.99789548771284,125.58578679136099
2,13,AM,0.5982265001655842,0.5260572156362748,0.07216928452930937,0.726718562142123,-0.23358355647992868,1166.6596013547862,146.5733670929534,46.667837689732806,99.90552940322058
3,16,AP,0.5766310479672159,0.4770646056984247,0.09956644226879119,0.6726429722531537,-0.17813623549817126,1238.2208744964782,108.26831244233409,35.339839065900684,72.92847337643342
4,29,BA,0.5798047578166323,0.5043051718536355,0.07549958596299677,0.5423637299776956,-0.25876531033413774,897.7660888481533,184.16623715836778,76.84193814920678,107.32429900916098
5,23,CE,0.5729963211351632,0.5061188838945503,0.0668774372406129,0.5078610335994064,-0.2866657630370091,841.3995597145514,187.36134804703167,83.3707948898661,103.99055315716556
6,53,DF,0.6336229284271495,0.6966174065287852,-0.06299447810163572,1.1914199404497787,-0.13493901667201602,2793.8614472947797,445.517022090026,24.165793435791254,421.3512286542347
7,32,ES,0.5565800402960733,0.5340045237839038,0.02257551651216949,0.8210250497486525,-0.21295219739937277,1329.0616903711093,241.4542363245984,55.00040204235609,186.45383428224233
8,52,GO,0.5472575147958552,0.4645434926662504,0.08271402212960477,0.7926531720130001,-0.22925510132820381,1311.6199282033915,175.27618875997288,53.508480552458416,121.76770820751446
9,21,MA,0.5721002137394608,0.4632470656667961,0.10885314807266477,0.4196711154402859,-0.2715322477875094,747.3479318639716,151.53650560739234,83.39408738342424,68.1424182239681
10,31,MG,0.5440927192399239,0.48915736317273073,0.05493535606719313,0.791475855990641,-0.23283836687521187,1212.7224325599207,241.16170306994584,67.75264813701412,173.40905493293172
11,50,MS,0.552873688322336,0.45831499614842597,0.09455869217391,0.8658116840129142,-0.2117870739729636,1327.553907371566,185.03942636903093,52.604036909201476,132.43538945982945
12,51,MT,0.5409835290482248,0.36061630813443835,0.18036722091378643,0.8692901105750608,-0.21725994613915034,1305.2299309977898,140.20700252898726,51.309291156982376,88.89771137200488
13,15,PA,0.5741512309235262,0.5197396378456255,0.054411593077900666,0.5483471711547766,-0.26137384067323466,926.4814176030937,142.4056359521986,55.53718485858321,86.86845109361539
14,25,PB,0.575201578002734,0.4932991423155021,0.08190243568723188,0.5435168164865133,-0.27272188491175253,861.6033316205665,215.3913328712001,93.57924949100104,121.81208338019906
15,26,PE,0.5883402813898612,0.5560039650341483,0.03233631635571288,0.5718153854506549,-0.2639068598173574,966.351332932772,222.84971645409462,78.99479544242307,143.85492101167156
16,22,PI,0.5763654447515385,0.5169372090179444,0.059428235733594126,0.4402692506671808,-0.26188787797859003,797.8442503465909,191.9577856988618,87.8423463655681,104.1154393332937
17,41,PR,0.5376688742241222,0.43503400283236315,0.10263487139175909,0.9120443753382432,-0.17002066823518192,1398.084748270199,225.15188731277857,56.73310462979044,168.41878268298814
18,33,RJ,0.5789548732083256,0.6107508339628334,-0.031795960754507746,0.9993852756291897,-0.17123761825147266,1701.3668452372192,392.27160863562335,46.72640829347086,345.5452003421525
19,24,RN,0.5736064700372725,0.5477405599001712,0.025865910137101267,0.576938692868346,-0.27260578521039835,982.2475124930464,232.221642888196,81.58676707071368,150.6348758174823
20,11,RO,0.5457671658906768,0.33679534762703744,0.2089718182636393,0.6993619148115505,-0.17751361286499867,1181.9310341191976,130.5863230341192,57.55630048323327,73.03002255088593
21,14,RR,0.5793081720977228,0.3946314195816458,0.18467675251607696,0.7557204179787885,-0.16516762688505693,1234.0757663058748,114.36756967823963,43.44811691372898,70.91945276451065
22,43,RS,0.5367567076919723,0.49836734455303744,0.03838936313893482,0.8974297652430273,-0.1674711009929275,1438.1154251660319,317.97629623720235,61.46933484775395,256.5069613894484
23,42,SC,0.49672828287920734,0.4380808613701018,0.05864742150910551,0.9627574804094513,-0.1602644097792919,1472.405927703281,256.5915252214628,50.01765430402517,206.57387091743763
24,28,SE,0.59256524837105,0.5854142885172113,0.007150959853838623,0.5785072674118352,-0.27097435358183564,958.5292498549771,212.79560957561972,69.67054277375064,143.12506680186908
25,35,SP,0.5154877934618071,0.4820148605238498,0.03347293293795728,0.9950473610186398,-0.16598718674950008,1465.5357985927076,275.89730331363654,47.39782226650367,228.4994810471329
26,35,SP,0.58356387911142,0.5356543592705062,0.04790951984091385,1.1049012063710717,-0.08797027118380862,2021.632358589277,295.9774638423876,33.71474353412121,262.26272030826635
27,17,TO,0.5743598491039053,0.2810921375204063,0.29326771158349896,0.7055497379451547,-0.18735366979254964,1078.0634138352248,127.2029944246924,68.46930851172725,58.73368591296515
