newcod,ano,oldcod
1200104,1939,0
1200203,1939,0
1200302,1939,1200500
1200401,1939,0
1200500,1939,0
1200609,1939,0
1200708,1939,0
1300409,1939,0
1300508,1939,1303403
1300607,1939,0
1300706,1939,0
1300805,1939,0
1300904,1939,0
1301001,1939,0
1301209,1939,0
1301308,1939,0
1301407,1939,0
1301605,1939,0
1301704,1939,0
1301902,1939,0
1302009,1939,0
1302405,1939,0
1302504,1939,0
1302603,1939,0
1302702,1939,0
1302900,1939,0
1303403,1939,0
1303809,1939,0
1303908,1939,0
1304203,1939,0
1304302,1939,0
1304401,1939,0
1500107,1939,1503309
1500206,1939,1504703
1500305,1939,1502509
1500404,1939,0
1500503,1939,1503101
1500602,1939,0
1500701,1939,1501808
1501204,1939,0
1501402,1939,0
1501709,1939,0
1501808,1939,0
1502004,1939,0
1502103,1939,0
1502202,1939,0
1502400,1939,0
1502509,1939,0
1502707,1939,0
1502806,1939,0
1502905,1939,0
1503002,1939,0
1503101,1939,0
1503200,1939,0
1503309,1939,0
1503507,1939,1507607
1503606,1939,0
1503903,1939,1503002
1504208,1939,1501204
1504307,1939,0
1504406,1939,0
1504604,1939,0
1504703,1939,1503309
1504802,1939,0
1504901,1939,0
1505106,1939,0
1505205,1939,1502806
1505304,1939,1505106
1505403,1939,1507607
1505700,1939,1502004
1505809,1939,0
1505908,1939,0
1506005,1939,1504802
1506203,1939,1504307
1506500,1939,1501402
1506807,1939,0
1507102,1939,1508209
1507201,1939,1501402
1507607,1939,0
1507904,1939,0
1508209,1939,0
1508308,1939,1501709
2100204,1939,0
2100501,1939,2106102
2100709,1939,2109601
2100907,1939,2112506
2101004,1939,2112902
2101103,1939,2105104
2101202,1939,2111409
2101400,1939,2102804
2101509,1939,2110906
2101608,1939,2104800
2101707,1939,0
2101806,1939,2107308
2101905,1939,2100204
2102101,1939,2103000
2102200,1939,2103000
2102309,1939,2103505
2102408,1939,2111706
2102804,1939,0
2102903,1939,2112407
2103000,1939,0
2103208,1939,2112704
2103307,1939,0
2103406,1939,2102200
2103505,1939,2108009
2103604,1939,2103000
2103703,1939,2104909
2104800,1939,2108009
2104909,1939,0
2105005,1939,0
2105104,1939,0
2105302,1939,2104800
2105401,1939,2111300
2106102,1939,2108009
2106706,1939,2108009
2106904,1939,2112803
2107100,1939,2105104
2107308,1939,2108009
2107803,1939,0
2107902,1939,2103505
2108009,1939,0
2108207,1939,2111409
2108306,1939,2112803
2108405,1939,2110500
2108504,1939,2112803
2108603,1939,2104909
2109007,1939,2104800
2109502,1939,2102804
2109601,1939,2105401
2109809,1939,2108603
2110104,1939,0
2110500,1939,0
2110609,1939,2104800
2110906,1939,0
2111102,1939,2101509
2111300,1939,0
2111409,1939,2105401
2111706,1939,2110500
2112100,1939,2103307
2112209,1939,2107803
2112407,1939,0
2112506,1939,2101707
2112605,1939,2102101
2112704,1939,2105401
2112803,1939,0
2112902,1939,0
2200301,1939,2200400
2200400,1939,2202208
2200509,1939,2205300
2201200,1939,2202208
2201507,1939,2201200
2201606,1939,2200301
2201705,1939,2205300
2201903,1939,2207603
2202000,1939,2207702
2202208,1939,0
2202307,1939,2210003
2202604,1939,2202208
2202901,1939,2207603
2203701,1939,2201200
2203909,1939,2205300
2204303,1939,2208205
2204402,1939,2202901
2204501,1939,2205300
2205201,1939,2207009
2205300,1939,0
2205508,1939,0
2205706,1939,2207702
2205805,1939,0
2206209,1939,2211100
2207009,1939,0
2207504,1939,2200509
2207603,1939,2202901
2207702,1939,0
2207801,1939,2205201
2207900,1939,0
2208007,1939,2207009
2208205,1939,2208007
2208304,1939,2207702
2208403,1939,2202208
2208502,1939,2201200
2208809,1939,2200509
2208908,1939,2211209
2209203,1939,2207603
2210003,1939,2210607
2210409,1939,2202604
2210508,1939,2200509
2210607,1939,2205201
2210805,1939,2207009
2211001,1939,2202208
2211100,1939,2202208
2211209,1939,2201705
2211308,1939,0
2300200,1939,2312908
2300309,1939,2305506
2301000,1939,2303501
2301109,1939,0
2301208,1939,2302107
2301307,1939,2302701
2301703,1939,2307502
2301901,1939,2304202
2302107,1939,0
2302404,1939,2311405
2302503,1939,2308302
2302602,1939,2304707
2302701,1939,2301307
2302800,1939,2304400
2303105,1939,2312908
2303204,1939,2304202
2303501,1939,2301000
2303709,1939,0
2303808,1939,2314003
2304004,1939,2304707
2304103,1939,0
2304202,1939,0
2304301,1939,2304202
2304400,1939,0
2304707,1939,0
2305001,1939,2305803
2305308,1939,0
2305407,1939,0
2305506,1939,2305407
2305605,1939,2304103
2305803,1939,0
2305902,1939,2305803
2306306,1939,2313807
2306405,1939,0
2306702,1939,2306900
2306900,1939,2305407
2307007,1939,2301109
2307106,1939,2304202
2307304,1939,0
2307403,1939,2311900
2307502,1939,2305407
2307601,1939,2311801
2307700,1939,2304400
2308005,1939,2312007
2308104,1939,2308302
2308302,1939,2304202
2308401,1939,2301901
2308500,1939,2312700
2308708,1939,2311801
2309300,1939,2305902
2309607,1939,2301000
2309706,1939,2307700
2309805,1939,2302107
2310506,1939,2312700
2310704,1939,2313807
2310803,1939,2306900
2311306,1939,2311405
2311405,1939,0
2311603,1939,2302107
2311702,1939,2305001
2311801,1939,0
2311900,1939,2307403
2312007,1939,2300200
2312106,1939,0
2312205,1939,2312908
2312304,1939,2314102
2312403,1939,2303709
2312700,1939,0
2312908,1939,2304400
2313005,1939,0
2313203,1939,2312205
2313302,1939,2311405
2313401,1939,2314102
2313609,1939,0
2313807,1939,0
2314003,1939,2307502
2314102,1939,0
2400109,1939,2402006
2400208,1939,0
2400505,1939,2407401
2400802,1939,2400208
2401008,1939,0
2401107,1939,0
2401206,1939,0
2401305,1939,0
2402006,1939,0
2402204,1939,0
2402303,1939,2401008
2402600,1939,0
2403103,1939,2400109
2403806,1939,2400109
2404200,1939,0
2405702,1939,0
2405801,1939,2414407
2406106,1939,2402006
2406700,1939,0
2407005,1939,2409407
2407104,1939,0
2407203,1939,0
2407401,1939,0
2408003,1939,2401008
2408102,1939,0
2408201,1939,0
2408300,1939,0
2408904,1939,2405702
2409308,1939,0
2409407,1939,2410207
2409803,1939,2402204
2410207,1939,0
2411205,1939,2412203
2411403,1939,2400208
2411502,1939,2404200
2412203,1939,0
2412500,1939,2409407
2412906,1939,2411205
2413409,1939,2402006
2413904,1939,2402600
2414407,1939,0
2500304,1939,2501104
2500403,1939,2504009
2500700,1939,2516201
2501005,1939,2501500
2501104,1939,2508901
2501500,1939,2501104
2502409,1939,2514503
2502805,1939,2504306
2503100,1939,2504009
2503605,1939,0
2503704,1939,2516201
2504009,1939,0
2504306,1939,2512101
2504405,1939,2511301
2504900,1939,0
2505105,1939,2511400
2506004,1939,2500403
2506301,1939,0
2506806,1939,0
2506905,1939,2511509
2507002,1939,2511301
2507507,1939,0
2508901,1939,0
2509701,1939,2514008
2510808,1939,2512101
2511301,1939,0
2511400,1939,0
2511509,1939,0
2512101,1939,0
2512309,1939,0
2513406,1939,2510808
2513703,1939,2507507
2514008,1939,0
2514503,1939,2503704
2515302,1939,0
2515906,1939,0
2516102,1939,0
2516201,1939,0
2516508,1939,2514008
2516706,1939,2510808
2517001,1939,2506806
2600104,1939,2613909
2600302,1939,2600807
2600401,1939,2601409
2600500,1939,2602803
2600708,1939,2606200
2600807,1939,2604106
2600906,1939,2602308
2601003,1939,2603702
2601102,1939,2609907
2601201,1939,2610905
2601409,1939,2611903
2601607,1939,0
2601706,1939,2602605
2601904,1939,2602308
2602001,1939,0
2602100,1939,2606002
2602209,1939,2608909
2602308,1939,2616407
2602605,1939,2605608
2602803,1939,2606002
2602902,1939,2611606
2603009,1939,2612604
2603702,1939,2613008
2604007,1939,2609501
2604106,1939,2602308
2604205,1939,2602308
2604700,1939,2606002
2605103,1939,2614105
2605202,1939,2602902
2605301,1939,2612604
2605608,1939,0
2605707,1939,2605608
2605905,1939,2614204
2606002,1939,0
2606101,1939,2610608
2606200,1939,0
2606408,1939,2601904
2606804,1939,0
2607000,1939,2611002
2607208,1939,2602902
2607653,1939,2606200
2607901,1939,2611606
2608107,1939,2602209
2608404,1939,2611507
2608701,1939,2602308
2608909,1939,2609600
2609006,1939,2615300
2609204,1939,2610004
2609402,1939,2607901
2609501,1939,2609600
2609600,1939,0
2609709,1939,2602209
2609907,1939,2612604
2610004,1939,0
2610202,1939,2604106
2610400,1939,2602001
2610608,1939,2609600
2610707,1939,2606804
2610806,1939,2602803
2610905,1939,0
2611002,1939,0
2611101,1939,0
2611507,1939,2610202
2611606,1939,2609600
2611804,1939,2605905
2611903,1939,2611606
2612208,1939,2603009
2612604,1939,2615706
2613008,1939,2606002
2613107,1939,2604106
2613305,1939,0
2613503,1939,2613909
2613602,1939,2600104
2613701,1939,2611606
2613909,1939,2605608
2614006,1939,2612208
2614105,1939,2610905
2614204,1939,0
2614501,1939,2602209
2615003,1939,2608909
2615300,1939,2607653
2615706,1939,2605608
2616209,1939,2615003
2616308,1939,2609501
2616407,1939,2609600
2700102,1939,2705002
2700201,1939,2704708
2700300,1939,2706307
2700409,1939,0
2701704,1939,2700409
2702108,1939,2707305
2702306,1939,0
2703205,1939,2706703
2704203,1939,2700201
2704302,1939,0
2704500,1939,2707305
2704708,1939,0
2705002,1939,0
2705507,1939,2709301
2706307,1939,2700409
2706406,1939,2705002
2706505,1939,2707404
2706703,1939,0
2706802,1939,2706703
2706901,1939,2704708
2707107,1939,2706406
2707305,1939,0
2707404,1939,0
2707503,1939,2706703
2707602,1939,2706307
2707701,1939,2704708
2708006,1939,2709202
2708303,1939,0
2708501,1939,2706505
2708600,1939,2704708
2709202,1939,2706703
2709301,1939,2700409
2709400,1939,2700409
2800209,1939,2805703
2800308,1939,0
2800407,1939,2802106
2800670,1939,2803500
2801009,1939,2802908
2801108,1939,2800209
2801306,1939,2806602
2801504,1939,2806107
2801603,1939,2805703
2801702,1939,2802809
2802007,1939,0
2802106,1939,0
2802304,1939,2802908
2802403,1939,2805604
2802809,1939,2806305
2802908,1939,0
2803005,1939,0
2803203,1939,0
2803302,1939,2801306
2803401,1939,0
2803500,1939,0
2803609,1939,0
2804003,1939,0
2804300,1939,0
2804409,1939,0
2804508,1939,2802403
2804607,1939,2801306
2804805,1939,0
2805604,1939,0
2805703,1939,0
2805802,1939,2803500
2805901,1939,0
2806008,1939,2802908
2806107,1939,2806602
2806305,1939,2802106
2806602,1939,0
2806701,1939,0
2807105,1939,0
2807204,1939,2802007
2807402,1939,0
2900702,1939,2913705
2900801,1939,2906907
2901007,1939,0
2901304,1939,2921906
2901403,1939,2909406
2902302,1939,2922508
2902609,1939,2920106
2902708,1939,0
2902807,1939,2917201
2903201,1939,2901403
2903409,1939,0
2903706,1939,2933307
2903904,1939,2923704
2904308,1939,0
2904506,1939,2919801
2904605,1939,2905206
2904902,1939,0
2905008,1939,2905206
2905206,1939,2917508
2905404,1939,0
2905701,1939,2921005
2905800,1939,2913606
2906006,1939,2930105
2906303,1939,0
2906907,1939,0
2907103,1939,2902708
2907202,1939,2926004
2907301,1939,2904902
2907509,1939,2929206
2907806,1939,2923803
2907905,1939,0
2908309,1939,2929107
2908408,1939,2926301
2908606,1939,2910602
2908705,1939,2905206
2908903,1939,2914505
2909307,1939,2907103
2909406,1939,2901403
2909802,1939,2929008
2909901,1939,2918407
2910503,1939,2913705
2910602,1939,0
2910701,1939,2921500
2910800,1939,2904902
2911303,1939,2933604
2911402,1939,2918100
2911709,1939,2923407
2913002,1939,2919801
2913606,1939,0
2913705,1939,0
2913903,1939,2918001
2914000,1939,2910800
2914505,1939,0
2914604,1939,2921708
2914703,1939,0
2914802,1939,0
2914901,1939,0
2915809,1939,2933307
2916104,1939,2927408
2916500,1939,2913705
2917003,1939,2925808
2917201,1939,2921906
2917300,1939,0
2917409,1939,2905206
2917508,1939,0
2917607,1939,2932101
2917805,1939,2902302
2918001,1939,2920502
2918100,1939,2916500
2918407,1939,2930204
2918803,1939,2902302
2919306,1939,2921906
2919504,1939,2926707
2919702,1939,2933307
2919801,1939,2923704
2920106,1939,2914000
2920502,1939,2921906
2920601,1939,0
2920700,1939,0
2921005,1939,0
2921203,1939,2917508
2921500,1939,0
2921708,1939,2917508
2921906,1939,2926707
2922003,1939,0
2922102,1939,0
2922300,1939,2929008
2922409,1939,0
2922508,1939,2917805
2922607,1939,2931202
2923209,1939,2904506
2923407,1939,2911709
2923506,1939,2919306
2923605,1939,0
2923704,1939,2917508
2923803,1939,2907806
2924306,1939,2926707
2924405,1939,2926004
2925105,1939,2903706
2925204,1939,2907509
2925303,1939,0
2925501,1939,2906907
2925808,1939,2930105
2926004,1939,0
2926301,1939,2908408
2926400,1939,2923407
2926608,1939,2907905
2926707,1939,0
2927002,1939,2916500
2927200,1939,2914703
2927408,1939,0
2927705,1939,2925303
2927903,1939,2932101
2928000,1939,2925808
2928109,1939,2909307
2928208,1939,2928109
2928406,1939,2902708
2928505,1939,2904902
2928604,1939,2929206
2928703,1939,2922508
2928802,1939,0
2929008,1939,2904902
2929107,1939,2920601
2929206,1939,2927408
2929305,1939,2904902
2929503,1939,2929206
2929800,1939,2917508
2929909,1939,2919306
2930105,1939,2917508
2930204,1939,2917508
2930501,1939,2914505
2931202,1939,0
2931905,1939,2907905
2932002,1939,2921500
2932101,1939,2932903
2932200,1939,2914901
2932507,1939,2906303
2932606,1939,2905206
2932903,1939,0
2933307,1939,2905206
2933604,1939,0
3100203,1939,3123205
3100302,1939,3152105
3100906,1939,3168606
3101102,1939,3131208
3101201,1939,3104908
3101508,1939,3139805
3101607,1939,3110301
3101706,1939,3135803
3101904,1939,3145109
3102001,1939,3101607
3102100,1939,3150802
3102308,1939,3140001
3102605,1939,3110301
3102803,1939,3101201
3103009,1939,3131703
3103405,1939,3141801
3103504,1939,3124807
3104007,1939,3147006
3104106,1939,3143203
3104205,1939,3126109
3104304,1939,3101607
3104601,1939,3115300
3104908,1939,3110905
3105103,1939,3126109
3105608,1939,0
3105707,1939,3152105
3106200,1939,3156700
3106408,1939,0
3106705,1939,3124104
3106804,1939,3105608
3106903,1939,3128501
3107109,1939,3169406
3107307,1939,3143302
3107406,1939,3160405
3107505,1939,3102803
3108008,1939,3145604
3108107,1939,3118304
3108305,1939,3152501
3108404,1939,3109501
3108602,1939,3143302
3108909,1939,3132404
3109006,1939,3108107
3109105,1939,3146008
3109204,1939,3121605
3109501,1939,3110301
3109709,1939,3147303
3110004,1939,3156700
3110301,1939,3152501
3110509,1939,3152501
3110608,1939,3110509
3110707,1939,3169307
3110905,1939,3162500
3111002,1939,3110301
3111101,1939,3152808
3111200,1939,3133501
3111408,1939,3170107
3111606,1939,3169406
3112000,1939,3111200
3112307,1939,3141801
3112406,1939,3164704
3113206,1939,3105608
3113305,1939,3143906
3113404,1939,3139409
3113701,1939,3168606
3113909,1939,3170701
3114006,1939,3145604
3114105,1939,3120508
3114303,1939,3104007
3114402,1939,3147907
3115102,1939,3147907
3115300,1939,3138401
3115508,1939,3104908
3116605,1939,3145604
3117306,1939,3170107
3117504,1939,3167103
3117702,1939,3137809
3118007,1939,3118304
3118205,1939,3156908
3118304,1939,3168804
3118403,1939,0
3118809,1939,3143302
3118908,1939,3147402
3119104,1939,3120904
3119302,1939,3148103
3120508,1939,3132404
3120904,1939,3156700
3121100,1939,3132404
3121209,1939,3115102
3121605,1939,3167103
3122009,1939,3113305
3122306,1939,3133501
3122405,1939,3109501
3122603,1939,3117504
3122702,1939,3102308
3123007,1939,3152709
3123205,1939,3151404
3123601,1939,3170701
3123908,1939,3118304
3124005,1939,3171303
3124104,1939,3156700
3124203,1939,3113305
3124302,1939,3142908
3124807,1939,3148103
3124906,1939,3143906
3125101,1939,3110509
3125903,1939,3131703
3126109,1939,3133501
3126703,1939,3143302
3127107,1939,3170107
3127701,1939,3148608
3127800,1939,3143302
3128006,1939,3167103
3128105,1939,3107109
3128303,1939,3144102
3128402,1939,3155801
3128501,1939,3139805
3128709,1939,3144102
3129004,1939,3172004
3129509,1939,3104007
3129707,1939,3115102
3130705,1939,3103504
3130903,1939,3113404
3131208,1939,3139409
3131703,1939,3110004
3131901,1939,3146107
3132404,1939,3110905
3132503,1939,3141801
3132701,1939,3168606
3132909,1939,3143203
3133006,1939,3133105
3133105,1939,3152501
3133501,1939,3168804
3133808,1939,3147105
3134202,1939,3152808
3134608,1939,3157807
3134806,1939,3110905
3134905,1939,3146008
3135209,1939,3164209
3135506,1939,3152105
3135803,1939,3103405
3136306,1939,3147006
3136702,1939,3105608
3137205,1939,3160405
3137403,1939,3152808
3137601,1939,3142106
3137700,1939,3131208
3137809,1939,3110905
3138005,1939,3115300
3138203,1939,3162500
3138401,1939,3139805
3138500,1939,3101201
3138609,1939,3105608
3138807,1939,3123205
3139003,1939,3101607
3139201,1939,3168606
3139300,1939,3135209
3139409,1939,3152105
3139508,1939,3139409
3139805,1939,3162906
3139904,1939,3149101
3140001,1939,0
3140506,1939,3151404
3140704,1939,3147105
3140803,1939,3136702
3140902,1939,3100302
3141405,1939,3103405
3141603,1939,3155801
3141702,1939,3125903
3141801,1939,3167103
3142106,1939,3143906
3142205,1939,3115300
3142809,1939,3152808
3142908,1939,3155603
3143005,1939,3144102
3143104,1939,3124807
3143203,1939,3134806
3143302,1939,3167103
3143401,1939,3146008
3143906,1939,3172004
3144003,1939,3131208
3144102,1939,3109501
3144409,1939,3159605
3144607,1939,3138203
3144706,1939,3131703
3144805,1939,3156700
3145000,1939,3156908
3145109,1939,3147907
3145604,1939,3168804
3146008,1939,3152501
3146107,1939,0
3146701,1939,3115300
3147006,1939,3156700
3147105,1939,3151404
3147204,1939,3139003
3147303,1939,3152501
3147402,1939,3167202
3147600,1939,3152600
3147709,1939,3145604
3147907,1939,3134806
3148004,1939,3148103
3148103,1939,3104007
3148608,1939,3167103
3148707,1939,3157005
3149101,1939,3120508
3149309,1939,3157807
3149606,1939,3147105
3149804,1939,3104007
3149903,1939,3138203
3150802,1939,3140001
3151107,1939,3101508
3151206,1939,3120904
3151404,1939,3156700
3151503,1939,3126109
3151701,1939,3139003
3151800,1939,3110301
3152006,1939,3151404
3152105,1939,3140001
3152204,1939,3127800
3152402,1939,3168606
3152501,1939,3110905
3152600,1939,3104908
3152709,1939,3168804
3152808,1939,3170107
3153400,1939,3148004
3154002,1939,3154903
3154101,1939,3138401
3154200,1939,3168804
3154309,1939,3101102
3154903,1939,3152105
3155207,1939,3150802
3155405,1939,3162906
3155504,1939,3162104
3155603,1939,3141801
3155702,1939,3157203
3155801,1939,3140001
3155900,1939,3105608
3156007,1939,3167103
3156700,1939,0
3156809,1939,3167103
3156908,1939,0
3157005,1939,3155603
3157203,1939,3140001
3157708,1939,3104007
3157807,1939,3156700
3158201,1939,3148608
3159605,1939,3162005
3159902,1939,3108008
3160405,1939,3126109
3160702,1939,3105608
3161007,1939,3157203
3161106,1939,3164209
3162005,1939,3110905
3162104,1939,3114303
3162500,1939,3146107
3162807,1939,3148608
3162906,1939,3155801
3163706,1939,3152600
3164209,1939,3147006
3164308,1939,0
3164704,1939,3134806
3165107,1939,3164704
3165305,1939,3102803
3165404,1939,3147303
3165701,1939,3169901
3166907,1939,3101607
3167103,1939,3156700
3167202,1939,3157807
3167400,1939,3152501
3167806,1939,3115508
3168408,1939,3113404
3168507,1939,3171303
3168606,1939,3141801
3168804,1939,3162500
3168903,1939,3100203
3169208,1939,3113305
3169307,1939,3110905
3169406,1939,3138203
3169604,1939,3142809
3169901,1939,3172004
3170107,1939,3104007
3170206,1939,3170107
3170701,1939,3169406
3171105,1939,3170107
3171303,1939,3169901
3171709,1939,3152600
3171808,1939,3128006
3172004,1939,3155801
3172103,1939,3101508
3200102,1939,0
3200201,1939,0
3200300,1939,0
3200409,1939,0
3200607,1939,0
3200805,1939,0
3201209,1939,0
3201308,1939,0
3201407,1939,0
3201506,1939,0
3201902,1939,0
3202207,1939,0
3202306,1939,0
3202405,1939,0
3202504,1939,0
3202603,1939,0
3202702,1939,0
3202801,1939,0
3203007,1939,0
3203403,1939,0
3203700,1939,0
3203809,1939,0
3204401,1939,0
3204500,1939,0
3204609,1939,0
3204807,1939,0
3204906,1939,0
3205002,1939,0
3205101,1939,0
3205309,1939,0
3300100,1939,0
3300209,1939,0
3300308,1939,0
3300407,1939,0
3300506,1939,0
3300605,1939,0
3300704,1939,0
3300803,1939,0
3300902,1939,0
3301009,1939,0
3301108,1939,0
3301207,1939,0
3301306,1939,0
3301603,1939,0
3301900,1939,0
3302007,1939,0
3302106,1939,0
3302205,1939,0
3302403,1939,0
3302502,1939,0
3302601,1939,0
3302700,1939,0
3303302,1939,0
3303401,1939,0
3303500,1939,0
3303708,1939,0
3303807,1939,0
3303906,1939,0
3304003,1939,0
3304201,1939,0
3304300,1939,0
3304409,1939,0
3304508,1939,0
3304607,1939,0
3304706,1939,0
3304805,1939,0
3304904,1939,0
3305000,1939,0
3305208,1939,0
3305307,1939,0
3305406,1939,0
3305505,1939,0
3305604,1939,0
3305703,1939,0
3305802,1939,0
3305901,1939,0
3306008,1939,0
3306107,1939,0
3306206,1939,0
3500402,1939,3549102
3500501,1939,0
3500550,1939,3526803
3500709,1939,3526803
3501004,1939,3505906
3501608,1939,3509502
3501905,1939,3507605
3502002,1939,3543907
3502101,1939,3556305
3502200,1939,3522307
3502309,1939,3507506
3502507,1939,3518404
3502705,1939,3552205
3502804,1939,3537305
3502903,1939,3552205
3503208,1939,3538709
3503307,1939,3526902
3503505,1939,3527207
3503703,1939,3531308
3504008,1939,0
3504107,1939,3550308
3504305,1939,3506003
3504404,1939,3537305
3504503,1939,3507506
3504909,1939,3503505
3505203,1939,3525300
3505302,1939,3525300
3505500,1939,3524303
3505906,1939,3516200
3506003,1939,3526803
3506102,1939,3524303
3506300,1939,3546405
3506508,1939,3537305
3506706,1939,3503208
3506805,1939,3525300
3506904,1939,3507506
3507001,1939,3540606
3507407,1939,3522703
3507506,1939,3522307
3507605,1939,3504107
3507803,1939,3505906
3507902,1939,3543907
3508009,1939,3522406
3508405,1939,3523909
3508504,1939,3554102
3508603,1939,3527207
3508702,1939,3510807
3508801,1939,3538907
3509304,1939,3533908
3509403,1939,3505906
3509502,1939,3525904
3509700,1939,3548609
3509908,1939,3551009
3510005,1939,3504008
3510203,1939,3522307
3510401,1939,3540606
3510500,1939,3550704
3510807,1939,3530805
3511102,1939,3549805
3511300,1939,3549805
3511409,1939,3504503
3512001,1939,3505500
3512308,1939,3554508
3512506,1939,3506508
3513009,1939,3550308
3513108,1939,3543402
3513405,1939,0
3513603,1939,3518404
3513702,1939,3503208
3514106,1939,3507902
3514304,1939,3507902
3514502,1939,3539400
3514700,1939,3504008
3514809,1939,3520301
3515186,1939,3530805
3515400,1939,3522802
3515608,1939,3531308
3516200,1939,3530805
3516606,1939,3514502
3516705,1939,0
3517000,1939,3527108
3517109,1939,3537305
3517406,1939,3534302
3517703,1939,3524105
3518206,1939,3502804
3518305,1939,3530607
3518404,1939,3554102
3518503,1939,3522307
3518602,1939,3524303
3518701,1939,3548500
3518800,1939,3550308
3519105,1939,3536703
3519402,1939,3549805
3519600,1939,3503208
3519709,1939,3550605
3520103,1939,3516200
3520301,1939,0
3520400,1939,3550704
3520509,1939,3523909
3520905,1939,3546405
3521200,1939,3502705
3521705,1939,3522406
3521804,1939,3522406
3521903,1939,3522703
3522109,1939,3551009
3522208,1939,0
3522307,1939,3552205
3522406,1939,3552205
3522604,1939,3530805
3522703,1939,3503208
3522802,1939,3522406
3522901,1939,3525300
3523206,1939,3522406
3523404,1939,3525904
3523503,1939,3504503
3523602,1939,3543907
3523909,1939,3547304
3524105,1939,3516200
3524303,1939,3503208
3524402,1939,3530607
3524600,1939,3520301
3524907,1939,3508504
3525102,1939,3505906
3525300,1939,3507902
3525508,1939,3538600
3525706,1939,3530300
3525904,1939,3547304
3526407,1939,3554508
3526704,1939,3539301
3526803,1939,3507506
3526902,1939,3538600
3527108,1939,3538907
3527207,1939,3518404
3528007,1939,3526803
3528502,1939,3518800
3528809,1939,0
3529005,1939,3508801
3529203,1939,3541406
3529302,1939,3503208
3529807,1939,3514106
3529906,1939,3520301
3530300,1939,3549805
3530508,1939,3510807
3530607,1939,0
3530706,1939,3530805
3530805,1939,3525904
3531308,1939,3524303
3531407,1939,3549805
3531506,1939,3506102
3531803,1939,3523909
3531902,1939,3534302
3532306,1939,3535606
3532405,1939,0
3533007,1939,3549805
3533502,1939,3522703
3533601,1939,3534302
3533809,1939,3546405
3533908,1939,3505500
3534302,1939,3533601
3534708,1939,3545407
3535002,1939,3533007
3535309,1939,3504008
3535507,1939,0
3535606,1939,3524402
3536307,1939,3516200
3536604,1939,3533908
3536703,1939,3526803
3537008,1939,3520103
3537107,1939,3501905
3537305,1939,3506003
3537404,1939,3502804
3537503,1939,3554003
3537800,1939,3552205
3537909,1939,3537800
3538006,1939,3554102
3538105,1939,3545605
3538501,1939,3527207
3538600,1939,3532405
3538709,1939,3523909
3538808,1939,3522802
3538907,1939,3506003
3539004,1939,3524303
3539301,1939,3526902
3539400,1939,3500709
3539509,1939,3524303
3540002,1939,3529005
3540200,1939,3551702
3540507,1939,3554003
3540606,1939,3523909
3540705,1939,3539301
3540804,1939,3549805
3541109,1939,3504305
3541208,1939,3541406
3541406,1939,0
3541505,1939,3541406
3541604,1939,3537305
3541703,1939,0
3541901,1939,3527207
3542206,1939,3541703
3542305,1939,3524907
3542404,1939,3541406
3542800,1939,3502705
3542909,1939,3507902
3543402,1939,3550902
3543907,1939,3526902
3544004,1939,3538709
3545001,1939,3530607
3545209,1939,3523909
3545407,1939,3546405
3545605,1939,3553708
3545803,1939,3538709
3546009,1939,3524402
3546306,1939,3510807
3546405,1939,3526803
3546801,1939,3530607
3547304,1939,0
3547502,1939,3539301
3547601,1939,3550902
3547700,1939,3541406
3547809,1939,0
3547908,1939,3509403
3548500,1939,3551009
3548609,1939,3538006
3548906,1939,3503208
3549102,1939,3530805
3549409,1939,3534302
3549607,1939,3503505
3549706,1939,3510807
3549805,1939,3524303
3549904,1939,3524402
3550001,1939,3554102
3550100,1939,3507506
3550209,1939,3522307
3550308,1939,0
3550407,1939,3538709
3550506,1939,3546405
3550605,1939,3547304
3550704,1939,3548500
3550803,1939,3549706
3550902,1939,3510807
3551009,1939,0
3551108,1939,3522307
3551405,1939,3550902
3551603,1939,3530805
3551702,1939,3543402
3552007,1939,3503505
3552106,1939,3507605
3552205,1939,3547304
3552601,1939,3531308
3552700,1939,3519600
3553302,1939,3510807
3553401,1939,3549805
3553609,1939,3508702
3553708,1939,3524303
3553807,1939,3522802
3554003,1939,3522307
3554102,1939,3522109
3554508,1939,3540606
3554706,1939,3507902
3554805,1939,3554102
3555000,1939,3502804
3555406,1939,3551009
3555604,1939,3549805
3556008,1939,3521903
3556305,1939,3502804
3556404,1939,3549102
3556602,1939,3529005
3556800,1939,3539509
3557204,1939,3546405
4101200,1939,4118204
4101804,1939,4106902
4102406,1939,4111803
4103107,1939,0
4103602,1939,4111803
4104204,1939,4106902
4104709,1939,0
4104907,1939,4106902
4105201,1939,0
4106407,1939,0
4106902,1939,4118204
4109401,1939,4104907
4110102,1939,4119905
4110508,1939,0
4110706,1939,4110102
4111803,1939,4127809
4112009,1939,4104907
4112801,1939,4124103
4113205,1939,4106902
4113700,1939,0
4113908,1939,4125605
4116208,1939,4101200
4117602,1939,4109401
4117701,1939,4119905
4118204,1939,0
4119400,1939,4104907
4119509,1939,4106902
4119905,1939,4104907
4120606,1939,4109401
4121505,1939,4125100
4121703,1939,4127502
