	COD	UF	Renda(Total)	Renda(Beneficios)	Total(%)	Beneficio(>Sal)	Beneficio(>Sal)(%)	Beneficio(<=Sal)	Beneficio(<=Sal)(%)
0	ac	1200344	648765.86870111	100145.97084939	0.1543638093198269	67755.84602443	0.10443805584298622	32390.12482496	0.04992575347684067
1	ac	1200104	2271610.88447011	258797.67733733	0.1139269401756273	133543.68154289	0.0587880972290909	125253.99579444	0.055138842946536384
2	ac	1200450	3026446.22486023	457666.30696337	0.1512223489067632	289973.6817149	0.09581326089092887	167692.62524847	0.05540908801583432
3	ac	1200807	1272455.28640987	224129.87392118	0.1761396854686693	122374.32522143	0.09617180778642469	101755.54869975	0.07996787768224459
4	ac	1200252	1522427.92591908	193112.99688786	0.12684541159561227	106572.13625297	0.07000143286824766	86540.86063489	0.05684397872736461
5	ac	1200393	397965.90809857	57440.63345536	0.14433556313857127	25679.0819326	0.06452583351999007	31761.55152276	0.07980972961858118
6	ac	1200013	1055562.40284367	89799.76490941	0.08507290963328243	25897.68603446	0.024534490774483823	63902.07887495	0.060538418858798605
7	ac	1200138	796627.69099855	66693.86664263	0.08372024647929467	36952.03541954	0.04638557739967798	29741.83122309	0.03733466907961668
8	ac	1200500	3174003.76247076	484677.10713143	0.15270212117018403	260956.4758672	0.08221681365117917	223720.63126423	0.07048530751900486
9	ac	1200336	1053390.74065728	188475.99022692	0.17892315069080386	114608.92783091	0.10880001447458892	73867.06239601	0.07012313621621495
10	ac	1200427	489762.17401499	86639.71409045	0.17690160385436024	39084.37035114	0.07980275412192972	47555.34373931	0.09709884973243052
11	ac	1200203	9481697.48339317	1314192.56882594	0.13860308991377313	770241.57119833	0.08123456507100955	543950.99762761	0.05736852484276358
12	ac	1200302	1759041.45829359	384900.31620325	0.218812532466764	264053.03055748	0.15011188582992946	120847.28564577	0.0687006466368345
13	ac	1200609	2428905.13386549	400334.02115107	0.16482077277096324	187810.22567549	0.07732299753370718	212523.79547558	0.08749777523725606
14	ac	1200328	132437.34682113	20613.46977735	0.15564695512354662	11777.59802021	0.08892958295303843	8835.87175714	0.06671737217050819
15	ac	1200435	94913.1399685	10241.64963623	0.10790549801248829	0.0	0.0	10241.64963623	0.10790549801248829
16	ac	1200385	1763794.36439475	262509.03916373	0.14883199791479693	149449.60554281	0.08473187609605157	113059.43362092	0.06410012181874535
17	ac	1200351	377362.38752957	60630.82991527	0.16067004004345553	19745.85666019	0.05232597978155074	40884.97325508	0.1083440602619048
18	ac	1200708	1473894.21608513	277603.31989966	0.1883468412251548	163633.43053011	0.11102114978423848	113969.88936955	0.0773256914409163
19	ac	1200054	434648.87313223	63792.02668392	0.14676680563833652	49107.36189571	0.11298168459939945	14684.66478821	0.033785121038937084
20	ac	1200401	66719144.98253101	9030815.72189409	0.13535568725076763	7543006.44430914	0.11305610175736087	1487809.27758495	0.022299585493406746
21	ac	1200179	611469.8791863	70197.05500905	0.11480051168254303	37794.00100154	0.06180844271811643	32403.05400751	0.052992068964426584
22	al	2701902	495068.93378385	91544.01460495	0.18491165241428512	7437.32802645	0.015022813024452835	84106.6865785	0.16988883938983226
23	al	2704906	263411.47212554	82204.98451838	0.31207822444119554	21814.18800827	0.08281411524048396	60390.79651011	0.22926410920071155
24	al	2702504	836275.27537961	203409.25569743	0.24323241603082973	30917.41280449	0.036970377714988255	172491.84289294	0.20626203831584147
25	al	2707909	539962.47779969	105537.19708326	0.19545283500682648	48006.09391021	0.08890635161508173	57531.10317305	0.10654648339174473
26	al	2703502	417939.16936804	118460.96669326	0.28344069035784125	29484.27053774	0.07054679890933113	88976.69615552	0.21289389144851012
27	al	2703106	1216501.65333824	426396.82854226	0.350510685597649	79834.05952712	0.06562593590238441	346562.76901514	0.28488474969526456
28	al	2708402	1223445.00432907	388882.02012419	0.31785819448210556	81279.27888614	0.0664347629836562	307602.74123805	0.25142343149844937
29	al	2708501	2076225.65695592	438850.61310775	0.21136942010011353	189717.08556969	0.09137594699019648	249133.52753806	0.11999347310991704
30	al	2706448	658381.86288342	153717.97473874	0.23347844678698104	77113.98277886	0.11712652964213659	76603.99195988	0.11635191714484443
31	al	2707404	522847.475319	177891.80947939	0.34023652762376744	95836.54165115	0.18329732125545437	82055.26782824	0.15693920636831304
32	al	2701407	2718666.57272861	442342.59840715	0.16270571862116565	148102.8161786	0.054476270707207584	294239.78222855	0.10822944791395807
33	al	2702355	1195181.19947888	244385.95911061	0.20447607376786597	22525.53907746	0.01884696570468271	221860.42003315	0.18562910806318325
34	al	2708006	3926581.59252545	988756.26064994	0.2518109549874409	436616.60882072	0.111195093883151	552139.65182922	0.14061586110428986
35	al	2708956	465982.75476324	163298.46313165	0.35043885522033946	21797.90245888	0.04677834584233753	141500.56067277	0.3036605093780019
36	al	2701001	2056634.86296479	370891.53362046	0.18033902872082633	175146.78522318	0.08516182837175727	195744.74839728	0.09517720034906905
